SYSMEX XN-1000 Hematology Analyzer, 20 $, Used Like New,  Russia
SYSMEX XE 2100 D Hematology Analyzer, 1 699 $,  Netherlands, 2017
5 Packs Peristaltic Pump Tubing Kits PharMed BPT NSF 51 Tubing, 509 $,  Netherlands, Used
Air Science PCR-24 Laminar Flow Hoods, 850 $,  France, New
Leica N Plan 5x/0.12 PH 0 Microscope Objective, 150 $, 2009, Used
THERMO FISHER SCIENTIFIC BS200 Laboratory Microscope, 485 $, Used,  France
^^ OLYMPUS LG-PS2 FIBER OPTIC LIGHT SOURCE, 52 000 $,  France, 2016
"20w LED Replacement Illuminator for Zeiss Standard 14, 16m 18 Halogen Illuminators", 283 $, 2008, Used
Used Thermo Fisher Scientific Engen TC Automation Laboratory Chemistry Analyzer (Clinical Diagnostics), 480 $, Used Very Good,  France
Olympus WHN10X-H/22 Focusing Eyepiece, 43 $, Certified Refurbished,  USA
Used Bio Tek FL600 Microplate Fluorescence Reader, 724 $, New,  USA
"Bio-Rad Trans-Blot Fiber Foam Pads, 9.5 x 15.2cm", 1 086 $, Used,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, Used,  USA
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Used,  USA
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  USA
SYSMEX XN-1000 Hematology Analyzer, 5 500 $, Refurbished,  USA
SYSMEX XE 2100 D Hematology Analyzer, 2 080 $, Used,  USA
Used Illumina HiSeq 2000 Sequencing System, 2 300 $, Used,  USA
DMA35 Version 3 EX PETROL (Demo Unit), 16 500 $, Used,  Netherlands
Metrohm 795 KFT Titrino 795 Key Pad 703 Ti Stand, 120 $, New,  Netherlands
Mettler Toledo T90 Titrator Rondo Tower Autosampler Dosing Units, 2 000 $, Used,  France
Used SPECTRA PHYSICS SP4290 INTEGRATOR, 30 $,  France, 2009
Mettler Toledo XS2002S Analytical Balance, 2 250 $, 2016, Used
Mettler P10 Top-Loading Precision Balance Scale- Parts, 366 $, Used,  France
~ Mettler Toledo PM30-K Toploading Balance, 4 453 $,  USA, 2008
Scientific Industries Vortex-Genie 2 Mixers, 724 $,  USA, Refurbished
MELET SCHLOESING M-Scan II TOC Analyzer, 1 086 $,  USA, New
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  USA, New
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  USA, New
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  USA, Used
SYSMEX XN-1000 Hematology Analyzer, 30 114 $,  USA, New
SYSMEX XE 2100 D Hematology Analyzer, 9 654 $,  Ukraine, Used
AGILENT 6890 GCMS System with 5973 MSD Mass Spectrometer, 200 $,  USA, New
DRAGER JM-105 Bilirubin Meter, 600 $,  USA, Used
C154439 Tantec Surgical LAB System III HV202 Power Generator HT-200 Transformer, 250 $,  Netherlands, New
Buchi TO-51 Glass Titrator Oven, 500 $,  Netherlands, Used
PERKIN ELMER JUNIOR MODEL 35 SPECTROPHOTOMETER C0350020, 12 500 $,  France, New
R160143 TJA Unicam Solaar 989 AA Spectrometer, 24 700 $, 2009, Used
Used Varian Saturn 2000 MSD (GC MS MS) Mass Spectrometer, 141 $, Used,  France
Refurbished Refurbished Varian 450-GC with 220-MS and ONE YEAR WARRANTY, 55 $,  France, 2016
MDC Vacuum Products TGT-531M Vacuum Gauges / Controllers, 724 $, 2008, Used
Mettler Toledo PB5001 Scale 5100g /0.1g with Digital Display (for parts/repair), 1 086 $, Used,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, New,  USA
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Used,  USA
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, For Parts,  USA
SYSMEX XN-1000 Hematology Analyzer, 57 $, Used,  USA
SYSMEX XE 2100 D Hematology Analyzer, 188 $, Used,  USA
Conductus LTC-10 Temperature Controller LTC-10G, 338 $, For Parts,  USA
Used HYBAID LIMITED MINI HYBRIDIZATION OVEN Ovens, 1 500 $, Used,  USA
BLUE M STABIL-THERM DRY TYPE BACTERIOLOGICAL INCUBATOR MODEL 200A, 1 895 $, New,  USA
9749 VISION ENGINEERING ALPHA ISIS MICROSCOPE 7-40X 25* ANGLE HEAD ADAPTER, 7 483 $, Used,  France
Zeiss Axioskop 40 Upright Microscope for Brightfield Transmitted, 1 000 $,  Netherlands, 2015
SYSMEX XS1000i Hematology Analyzer, 3 500 $,  Netherlands, Used
Used 10498 ROHDE & SCHWARZ R&S CMU200 UNIVERSAL RADIO COMMUNICATION TESTER, 28 000 $,  France, New
10579 CONAIR FRANKLIN COMPU-DRY DHCOH4S03000 W/ HOPPER & LOADER 18056303 DB12SEC, 4 500 $, 2009, Used
Used METTLER TOLEDO DSC I Thermal Analysis, 724 $, Used,  France
Used Agilent G9821A CARY 100 UV-Vis Spectrophotometer, 1 086 $,  France, 2016
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, 2008, Used
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Refurbished,  Netherlands
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  Spain, 2010
SYSMEX XN-1000 Hematology Analyzer, 1 270 $, 2020, New
SYSMEX XE 2100 D Hematology Analyzer, 7 700 $, For Parts,  USA
Refurbished Agilent (HP) G3170-80001 Mass Spectrometer, 350 $, Refurbished,  USA
Refurbished RECONDITIONED PERKIN ELMER SPECTRUM ONE FTIR (SORRY SOLD ), 150 $, For Parts,  USA
Uline H-1563S-Y Flammable Material Storage Cabinet 30 Gallon Yellow, 2 308 $, For Parts,  USA
Siemens NIC-C 500-033240 FireFinder XLS Network Interface Card FIRE ALARM, 400 $, Used,  USA
Lab Companion IB-15G Incubators, 150 $, Refurbished,  USA
Thermo Forma 1886 Laminar Flow Hood / Animal Bedding Disposal Cabinet (203-4159), 875 $, New,  USA
Conductus LTC-20 Cryogenic Temperature Controller, 194 $, For Parts,  USA
Taylor Wharton Cryo Vessel and transport case - Excellent, 1 495 $, Used,  Netherlands
"Bio Plas 2.0mL Cryogenic Microcentrifuge Tube - Sterile, Natural (Pack of 500) Model # 4203S", 724 $, New,  Netherlands
Ulvac Model VDN 601 Oil Sealed Rotary Vacuum Pump, 1 086 $, Used,  France
