equipment,cost,condition,country
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,8700,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,249,Used,USA
Refurbished Waters Acquity UPD HPLC Detectors,1750,New,USA
Grace Vydac 218MS 5um C18 HPLC Column 150x4.6mm 218MS5415,2449,New,USA
Used Alltech 570 Autosampler,9500,New,USA
"Used Dionex Post Column Reaction System (RBU-510, PRU-510, PPU-510)",28250,For Parts,USA
Used Agilent 6850 Network GC with FID and Autosampler,175,For Parts,USA
Dionex ICS-3000 Ion Chromatography System,11995,For Parts,USA
New Zellweger 2302B0650 Enforcer Portable Gas Detector / Calibrator,90000,Used,Netherlands
Refurbished GE Akta FPLCw/ Frac-950 FPLC Systems,1000,Used,Netherlands
Refurbished Hitachi S-4700-II Electron Microscope,724,New,France
Agilent 01078-60003 Analytical Head Assy,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,For Parts,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,300,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,400,For Parts,USA
Mettler Toledo MonoBloc Delta Range Analytical Balance PB303-SDR,1995,Refurbished,USA
10161 METTLER PM460 DELTA RANGE SCALE / BALANCE 400G MAX,1000,Used,USA
Mettler Toledo Analytical Balance AB204-S,499,Refurbished,USA
Mettler Toledo SB 8001 Precision Balance,55,New,USA
"Unused Mettler Toledo GA42 Printer w/2X Ink, 2X Paper, RS232C Cable for Balances",4100,New,USA
Mettler PM1200 Scale (for parts or repair),320,Used,USA
Emtek P100 Microbial Air Sampler,40,New,Netherlands
APTECH AP4650SM 2PW FV4 TW6 250 PSI VALVE - LOT OF 14 (#1),52,Used,Netherlands
SWAGELOK SS-43GS4 BALL VALVE 316 ROH VALVES (UUR),724,New,France
SMC AW2000 FILTER REGULATOR SMC AFM2000 MIST SEPARATOR PRESSURE GAUGE ASSEMBLY,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,320,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1166,For Parts,USA
ANDERSON GREENWOOD 930203FA PRESSURE RELIEF VALVE- 2,61,New,USA
1.33,1040,Used,USA
DAIGGER SHAKER MODEL 22407A,5000,Refurbished,USA
"Norlake NSPR502WWG/0 Double Door Refrigerator, Laboratory Equipment, Lab",60,Used,USA
C160954 Asyst Technologies OFH-3000Q Prealigner Pre-Aligner Wafer Handling Robot,440,Used,USA
Used Agilent Technologies Agiltent Solvent Mixer Mixers,1195,Used,USA
Used Panasonic AG-MX70 Mixers,1550,Refurbished,Netherlands
Used Lightnin EV5P25M Mixers,1120,Used,Netherlands
"IKA M 20 Basic Universal Dry Mill, 20,000rpm",724,New,France
Bel-Art Large Molded Polyethylene Fume Hood With Acrylic Sash; 42 X 20 X 30 IN,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1995,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,8180,For Parts,USA
Forma Scientific CryoMed Control Rate Freezer 8026,7836,Used,USA
So-Low U85-18 Ultra Low Temperature Laboratory Freezer,3885,Used,USA
So-Low U85-13 Ultra Low Temperature Laboratory Freezer,208,New,USA
Heidolph Rotary Evaporator Laborota 4002,375,New,USA
PRECISION GRAVITY CONVECTION INCUBATOR MODEL 2EG,100,Refurbished,USA
FISHER ISOTEMP INCUBATOR 200 SERIES MODEL 255D,350,Refurbished,USA
"ASP Sterrad Incubator 58 Degree C #4, Lab, Healthcare, Laboratory Equipment",275,New,Netherlands
R162002 VWR Sheldon Shel Lab Refrigerated Incubator LI5 w/ Two Outlets Inside,250,Used,Netherlands
INFORS HT UNITRON LABORATORY INCUBATOR SHAKER,724,New,France
Western Enterprises LC (Cryogenic Cylinder-Gas Withdrawal),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,572,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,757,Used,USA
JEIO Tech Lab Companion BW-05G Heating Water Bath 5 Liter AAH41406U,6500,Refurbished,USA
Welch 2019 Diaphragm Pump - Vacuum Filtration 115V Model # 2019B-01,64,New,USA
New in Box Edwards XDS10 Dry Vacuum Pump,32,For Parts,USA
SMITHKLINE BEECHAM CLINICAL LABORATORIES VANGUARD V6500 CENTRIFUGE,19992,Used,USA
DENVILLE SCIENTIFIC BRUSHLESS MICROCENTRIFUGE MODEL 260D,2500,Used,USA
Nova Biomedical BioProfile FLEX Analyzer,2500,Used,USA
Moller-Wedel Spectra 500 Surgical Microscopes,30000,Used,Netherlands
Hitachi SEM S-520 Scanning Electron Microscope,76,Used,Netherlands
Leica DM 5500 Q Confocal Spectral Detector TCS SPE Laser Scanning Microscope,724,New,France
COHU MICROSCOPE COLOR CAMERA MODEL 1352--5000/0000,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,3500,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1800,For Parts,USA
OLYMPUS SZ1145 CHI INSPECTION STEREOZOOM MICROSCOPE W/ COAXIAL ILLUMINATION. ZOOM RANGE IS 18X - 110,2600,Used,USA
Nikon SMZ-10A Stereo Microscope with Side Camera Port,1600,For Parts,USA
LEICA MZ6 STEREOZOOM MICROSCOPE,3496,Used,USA
LEICA MS5 STEREOZOOM MICROSCOPE,3870,Used,USA
Leica M60 Stereo Microscope on Table Stand,645,Used,USA
Leica M60 Stereo Microscope on Dual Arm Boom Stand,2500,For Parts,USA
AUTOMATED scrubEx Automated Dispensing System,5699,New,Netherlands
THERMO SCIENTIFIC Heraeus Megafuge 16 Laboratory Сentrifuge,700,Used,Netherlands
BIO-RAD Bio-Plex Pro Human Diabetes Electrophoresis System,724,New,France
Vacuum Filtration System with Single Branch Manifold,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,5900,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,677,New,USA
Azzota SE9200 Scanning Double Beam UV-Vis Spectrophotometer,2412,Used,USA
BECKMAN COULTER LH 750 Slide Marker and Stainer Slide Stainer,340,Used,USA
BOC EDWARDS XDS10C Laboratory Vacuum Pump,1009,Used,USA
New Hitachi Deuterium Lamp for LC - 635-0946,15,Used,USA
"OLYMPUS U-MWIB2; WIDE IF BLUE CUBE, EX460-90, DM505, EM510IF",341,For Parts,USA
:: PENTAX ST-1A STETHASCOPE,400,For Parts,USA
LabTech VP30 Vacuum Pump,90,Used,Netherlands
MOUNTZ S-100 TORQUE ANALYZER,300,Used,Netherlands
Pack 10 Pall Omega Membrane 10 mL Stirred Cells 100K Clear OC100C30,724,New,France
Siemens Medical Hematek Slide Stainer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,75,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,3995,New,USA
Siemens Hematek Stain Pak 01178588 for 3000 Slide Stainer- New,775,Used,USA
Labconco Freestanding FlaskScrubber Glassware Washer 4420420,3401,For Parts,USA
Olympus U-5BDRE Brightfield/Darkfield 5 Position Nosepiece U-R205,925,Used,USA
Olympus U-DICR; Nomarski Prism Reflected Light,1200,Used,USA
Nikon Gout Polarization Kit,95,Used,USA
NIKON CFN FILAR MICROMETER EYEPIECE 10X,400,Used,USA
OLYMPUS PM -PB20 / PM C35DX Camera Microscope,58,Used,Netherlands
NIKON 3X TOOLMAKERS OBJECTIVE,695,Used,Netherlands
Leica Lens Shield for A and S Series Microscopes Model # 10450831,724,New,France
Olympus U-PO3; POLARIZER SLIDER W/LOCKING PLATE TO U-AN360-3,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,544,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,145,New,USA
"Olympus U-TP530;FIRST ORDER RED,FULL WAVE,GYPSUM PLATE,FITS IN U-TAD",800,New,USA
Olympus 43IF550-W45: 45mm Green interference 550NM Filter,500,New,USA
OLYMPUS BH2-UMA BRIGHTFIELD / DARKFIELD REFLECTED LIGHT ILLUMINATOR FOR THE BH SERIES MICROSCOPES **,300,New,USA
"Used Diagnostica Stago, Inc. STA Satellite Hematology Analyzers",474,Used,USA
Used Abbott I-Stat Hematology Analyzers,149,Used,USA
Nikon C-FMCN Coarse/Fine Focus Mount fits 32mm Post and 76mm Stereo Microscope,1596,Used,USA
Nikon G-AL 2X Stereo Microscope Objective MMH31200,900,New,Netherlands
Leica Plan 1.0x M-series Objective,478,Used,Netherlands
Olympus UMPlanFl 50x/0.80na Objective,724,New,France
Olympus DFPL 0.5x-4 Plan Achromat Objective for SZX9,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1041,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1327,Used,USA
Olympus MD Plan 80x Microscope Objective,2500,New,USA
Olympus ULWD MSPLAN 50X/0.55na Objective,100,Used,USA
G149867 Olympus Optical BH3-MJLA4 Microscope w/Tilting Trinocular Head,16500,For Parts,USA
R152434 Olympus CX41 Hitachi Microscope CCD Camera KP-F1AP,3499,New,USA
Used Advanced Instruments 2020 Osmometers,5000,For Parts,USA
Bio-Rad MYIQ Real-time PCR system-Newly Refurbished!,101,New,USA
"Perkin Elmer Radiomatic 625TR Laboratory Flow Scintillation Counter, Tested.",2999,Used,Netherlands
BIO-RAD TRANS-BLOT SD SEMI DRY TRANSFER CELL FOR WESTERN BLOTTING DNA & RNA,338,Used,Netherlands
ABI SimpliAmp 96 well PCR Thermal Cycler-Demo Condition Year 2015,724,New,France
Used BIO-TEK ELX50 MICROPLATE READER (B1),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,175,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1539,Used,USA
Used Waters 2487 Low Voltage Power Supply WAS081266,250,Used,USA
Used Mycronic MYDATA Automation TMDFLEX TMD Flex Type L-14-442D Tape Magazine SMT,3450,Used,USA
Used 10655 TOROID ISB-100W MEDICAL ISOLATION TRANSFORMER,100,Used,USA
Used HISEQ 2000 ILLUMINA HISEQ 2000 GENOME DNA SEQUENCING SYSTEM,1000,Used,Ukraine
Used 10058 ESPA BOMBAS ELECTRICAS DELTA 1005M 22060486/STD 1 HP MOTOR / PUMP,18750,New,Ukraine
Used 11032 FLUKE WAVETEK 1375 VXI 20 MHZ ARBITRARY WAVEFORM GENERATOR,100,New,Ukraine
Used Metrohm 850 Professional IC 858 Detector Ion Chromotography Mixing Valve,105,New,Netherlands
Surgipath X-Tract Replacement Cartridge & 3 Bactiguard Filters 04954 SCAS1,638,Used,Netherlands
SAMPLE ARM CAPS P/N: 707-1593 FOR USE WITH HITACHI 911/7070 CHEMISTRY ANALYZER,724,New,France
HALM CETISPV-IRM -ISO MEASUREMENT MONITOR -NEW IN BOX?,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,Ukraine
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,Ukraine
HORIBA ABX Pentra DX Nexus Hematology Analyzer,89,New,Ukraine
HORIBA Pentra DF Nexus Hematology Analyzer,100,New,USA
Life Technologies Beta-lactamase Loading Solutions K1085,112,Used,USA
R159049 Natus Bio-logic Isolation Transformer 520-SWBXFS,1875,Used,USA
100 NSPIRE KOKO DISPOSABLE BACTERIAL VIRAL PULMONARY FILTER 810000 6360011 L 202,5000,New,USA
MTS NANOINDENTER NANO INDENTER XP (#1842),300,New,USA
10907 MACGREGOR DC 2003P DP2DU-2000 DUAL HEAD PARALLEL GAP RESISTANCE WELDER,3000,New,USA
R162670 Lot (3) Inovision Therapy Beam Evaluator 35300A,15220,New,USA
Used Applikon Bioreactor Technologies Pall Micro-24 M6986 MicroReactor Fermenter,95,New,Netherlands
Anton Paar Abbemat 550 Refractometers,4000,Used,Netherlands
RADIOMETER COPENHAGEN PHM82 STANDARD PH METER,724,New,France
Used Thermo Nicolet 6700 iTR Diamond Plate 19468 for Smart iTR,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,4000,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,625,For Parts,USA
Used Hitachi U3900H Spectrophotometer - includes software!,2500,For Parts,USA
Used Thermo Multiskan Spectrum Spectrophotometer,90000,Used,USA
Used Perkin Elmer Lambda EZ210 Spectrphomter System,11000,Refurbished,USA
Used Agilent 7890A & Agilent 7000 Triple Quad GC/MS/MS G7010AA **FINANCING*WARRANTY**,35000,Refurbished,USA
Oxford X-Met 5000 XRF Alloy Mining Ore ROHS Analyzer PMI GUN Xray spectrometer,725,For Parts,USA
Thermo ARL 3460 ADVANTAGE optical emission spectrometer *FINANCING* WARRANTY*,1650,New,USA
Used Hiac/Royco 5230 Airborn Particle Counter,4995,Used,Netherlands
Used METTLER TOLEDO Mettler Toledo MJ33 Moisture Analyzers,59500,Used,Netherlands
Used METTLER TOLEDO HS153 Moisture Analyzers,724,New,France
Used Thermo Fisher Scientific LTQ Orbitrap Mass Spectrometer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,100000,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,750,Used,USA
Refurbished Agilent Technologies 6460 / 1290 Mass Spectrometer,2270,Used,USA
Used Agilent Chemstation LC B.04.03 Software Licenses Lab Advisor and BootP Included,1750,Used,USA
Refurbished Refurbished Shimadzu DGU-20A 3 Prominence Degasser with ONE YEAR WARRANTY,175,Used,USA
Waters Alliance 2695 Separations Module WAT270008 - Parts Unit - SN G99SM4867M,160,Used,USA
Used Agilent Zorbax Eclipse XDB-C8 HPLC Column 2.1 x 50mm 5um #960967-906,300,New,USA
Amicon Vantage Acrylic Preparative Chromatography Column 250mm ID VS250,9995,New,USA
T159947 CTC Analytics LC-PAL Autosampler Arm MXY 03-01A,23999,New,Netherlands
Used Varian Gas Chromatograph CP-3800 3800/3380,63,Used,Netherlands
"Refurbished Refurbished Varian CP 3900 GC, FID installed, with CTC Combi Pal headspace",724,New,France
Colorimeter (CW2010),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,30000,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,293,New,USA
"Waters ACQUITY UPLC System PDA Detector Sample Binary Solvent Manager,Column H/C with Computer loaded with empower 2.",769,For Parts,USA
Vintage Federal Pacific Roller-Smith Precision Balance 705689 NP 1565,659,For Parts,USA
Mettler Toledo PB1502-S Balance d=0.01g Max=1510.00g Working Great,800,For Parts,USA
Mettler Toledo PB1502-S d=0.01g Max=1510.00g Lab Scale Working Great,1400,Used,USA
Mettler-Toledo PG6002-S Balance Scale 1200.00g / 6100.0g,3200,New,USA
Mettler-Toledo XS2002S Balance Scale 2100.00g,1100,For Parts,USA
Mettler Toledo XS32001L Balance,45,Used,Netherlands
Mettler Toledo PR2002 Balance W/ LC-RS9 Cable,9500,Used,Netherlands
10162 METTLER PE 3600 SCALE / BALANCE,724,New,France
PERKIN ELMER AANALYST 300 AAS with Flame featured,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,537,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,866,Used,USA
MKS Baratron 622B12TBE Capacitance Manometer 100 Torr,320,Used,USA
"FLOWSERVE SEREG CONTROL VALVE ACTUATOR CONVERTER ASSEMBLY MECA-INOX, ASCO, ETC",364,New,USA
CKD PARECT PRESSURE CONTROL FLOW SPLITTER TPR-03-A100T-X100 (AA),14,New,USA
KF40 HV Manual Angle Valve,40,Refurbished,USA
SMC V124-5G 3 port Solenoid Valve (V100 direct operated - Standard) 24VDC (C-2),300,Used,USA
Gemu Plastic Diaphram Valve S660/15/D/7X152-1 X,50,Used,USA
BioRad Ultra Rocker,125,Used,Netherlands
T160921 Barnstead Thermolyne Maxi Mix 1 Type 16700 Vortex Mixer Shaker M16715,400,Used,Netherlands
Bellco Mini Orbital Shaker Vortexer 7744-08115 w/ Clamps- Parts,724,New,France
SIEMENS PSC-12 POWER SUPPLY FOR THE XLS FIRE ALARM SYSTEM 575-033340,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,65,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,99,Refurbished,USA
SCOTT ENVOY RADIOCOM COMMUNICATION ACCESSORY P/N 805262-04- NEW/UNUSED (B6),2000,For Parts,USA
Photon Technology International PTI IC-100 Fluorescence Controller,75,Used,USA
R155284 Domino DSL Plus E22.01/LW/S Laser Slide Writer Engraver w/ Controller,1500,For Parts,USA
Kenmore 255.94289110 (800-2862),90,For Parts,USA
Thermo Scientific Oven Series 9000 Ovens,200,Used,USA
Beckman Coulter Mixer Paddle Probe Mixers,1800,Refurbished,USA
EiCom Model EFC-82 Microdialysis Fraction Collector - Base Unit & Controller,1995,Used,Netherlands
(PRICE REDUCED) 4FT KEWAUNEE SCIENTIFIC FUME HOOD,400,Used,Netherlands
Nuaire AireGard ES 301 Horizontal Laminar Airflow Workstation NU-301-636,724,New,France
Fisher Scientific Isotemp Undercounter Freezer 13-986-154,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1560,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,2295,Used,USA
PLANER KRYOSAVE INTEGRA CONTROLLED RATE FREEZER,8866,Used,USA
Harris -40 Freezer ELT-25V-40D34,500,Used,USA
So-Low U85-22 Ultra Low Temperature Laboratory Freezer,3000,Used,USA
R162359 VWR Scientific Explosion Proof Freezer U2005XA14,8500,Used,USA
Buchi R-205 Rotary Evaporator and Integrated systems,208,Refurbished,USA
~ Thermo Scientific Series 8000 WJ (Water Jacket) Incubator,100,For Parts,USA
PRECISION GRAVITY CONVECTION INCUBATOR MODEL 4EG,19995,Refurbished,Netherlands
Labnet D1301 Single Block Dry Bath,1990,Used,Netherlands
Espec Compact Ultra Low Temperature Chamber MC-811P,724,New,France
Rigaku X-stream 2000 Cryogenic Crystal Cooler System,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,300,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,450,Used,USA
Union Carbide Corporation LR-30A Liquid Nitrogen Dewar (800-1277),19995,New,USA
UNION CARBIDE 35HC DEWAR CRYOGENICS STORAGE UNIT EXC W/ VESSELS 14173/R,1995,New,USA
Espec Compact Ultra Low Temperature Chamber MC-811P,1000,New,USA
Labconco 3 Purifier Class II Biological Safety Cabinet 1186,1000,Refurbished,USA
"Biosafety Systems Inc AeroStar RS0100 Portable Bio Hood, Medical, Laboratory",200,For Parts,USA
R162860 Baker B60-ATS Class II Type A Biological Safety Cabinet Hood,320,For Parts,USA
VWR SCIENTIFIC PRODUCTS SHEL LAB MODEL 1235 WATER BATH,621,Used,Netherlands
IDEX VERSA-MATIC E1AA2R229 DIAPHRAGM AIR OPERATED PUMP- STILL WITH TAGS (#1),499,Used,Netherlands
Fischer Technical Laboratory High Vacuum Pump (3CFM - 110V) Model # LAV-3,724,New,France
SORVALL PORTER BLUM MICROTOME JB-4,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,4250,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,750,For Parts,USA
LEICA EG1140H EMBEDDING CENTER WITH AN EG1150C COLD PLATE - FULLY RECONDITIONED,7850,Used,USA
Whatman 75 83-M312 Zero Air Generator,99,New,USA
Hettich Rotofix 32A Centrifuge,200,New,USA
IEC MICROMAX CENTRIFUGE WITH ROTOR,4250,Used,USA
IEC MEDISPIN LABORATORY CENTRIFUGE,2950,Used,USA
Thermo IEC FL40 Floor Centrifuge,6500,Used,USA
Thermo IEC Centra GP8 Refrigerated Centrifuge,2900,Used,Netherlands
ThermoFisher Scientific Hereaus Multifuge X3R Refrigerated Centrifuge with Rotor and Adapters,4295,Used,Netherlands
Sorvall Biofuge Stratos Refrigerated Centrifuge with Hareus #3335 rotor - Excellent,724,New,France
Beckman Coulter Allegra X-15R refrigerated bench top centrifuge with rotor,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,600,New,USA
THERMO SCIENTIFIC SORVALL BIOFUGE PRIMO CENTRIFUGE WITH HERAEUS 7591 ROTOR,100,For Parts,USA
Zeiss 473415-9901 Microscope (3 Objectives),30000,Used,USA
C157177 Diagnostic Instruments 0.55X HR055-CMT Microscope Camera Adapter O Clamp,11996,Used,USA
Leica DM 5500 Q Confocal Spectral Detector TCS SPE Laser Scanning Microscope,2695,Used,USA
OLYMPUS BX61 FLUORESCENCE MICROSCOPE WITH PRIOR H101AIBX MOTORRIZED STAGE BX61TR,19350,Used,USA
Zeiss Axiovert 40C Inverted Microscope,1400,New,USA
~ ZEISS AXIOVERT 200 M INVERTED MICROSCOPE WITH AXIOCAM & ATTOARC SYSTEM,15500,Used,Netherlands
Unitron MCN-1123 Microscope w/S10X Objective & KS10X Eye Pieces,3420,Used,Netherlands
OLYMPUS BX51M BRIGHTFIELD / DARKFIELD & DIC / NOMARSKI REFLECTED LIGHT MICROSCOPE W/ TRINOCULAR HEAD,724,New,France
Nikon SMZ745T Digital Stereo Microscope,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,11200,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,316,Used,USA
MODULATION CONTRAST INVERTED IVF MICROSCOPE WITH HIGH RESOLUTION OLYMPUS LWD PLAN FLUORITE OBJECTIVE,693,Used,USA
AmScope LED Digital Binocular Microscope,24,Used,USA
AmScope 3.5X-90X Trinocular Stereo Trinocular Microscope,5690,For Parts,USA
Traceable Waterproof Food Thermometer,31,Used,USA
Jacketed Reactor 10L,241,Refurbished,USA
Traceable Big Digit 4-Channel Timer,25950,New,USA
LABNET C1000 PCR Thermal Cycler,4000,Used,Netherlands
OLYMPUS AU2700 Chemistry Analyzer,2000,Used,Netherlands
BIOMERIEUX VIDAS 30 PC Windows VIDAS,724,New,France
INSTRUMENTATION LABORATORY ACL 7000 Coagulation Analyzer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1400,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1600,Used,USA
ABBOTT LABS ARCHITECT ci4100 Biochemical Analyzer,4900,Used,USA
BAMC MEDICAL AD-I Medical Gas Blender,60,Used,USA
Azzota SE9100 Scanning Single Beam UV-Vis Spectrophotometer,590,Used,USA
"Azzota Portable 0-90% Brix Refractometer, Heavy-duty",539,Used,USA
"Azzota Heavy Duty LCD Digital Overhead Stirrer, 20L, 100-2500RPM, 31 inch height",300,Used,USA
Azzota D2 Lamp Deuterium Lamp for Waters ACQUITY2489/2998 (201000186 201000281),39,Used,USA
NEW Agilent Deuterium Lamp for LC - 2140-0813,150,Used,Netherlands
BECKMAN INDUSTRIAL 600 SERIES MODEL 610 THERMOCOUPLE THERMOMETER 90-132VAC (R2),399,Used,Netherlands
"HORIBA PENTRA 400 CHEMISTRY ANALYZER 1BX, 150 CUVETTE/ SEGMENTS P/N A11A01485",724,New,France
"SIEMENS DIMENSIONS CUVETTE CARTRIDGE 1 CARTRIDGE, 12,000 TEST P/N 10445042",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,19,Used,USA
