equipment,cost,condition,country
Oxford Compact Eco XRF Analyzer X-RAY THICKNESS PLATING GAUGE bath Refurbed,1207,Used,USA
Leica Upright Light Microscope with Fluorescence Module,724,New,USA
SYSMEX SF-3000 Hematology Analyzer,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,Netherlands
SYSMEX XT-2000i Hematology Analyzer,3500,New,Netherlands
SYSMEX XN-1000 Hematology Analyzer,1736,Used,France
SYSMEX XE 2100 D Hematology Analyzer,225,,France
ORTHO BIOVUE SYSTEM Laboratory Сentrifuge,120,Used,
OLYMPUS NFK 2.5X PHOTO EYEPIECE,6400,Used,France
JOHNSON & JOHNSON ORTHO CLINICAL DIAGNOSTICS VITROS DT60 II (KN),600,,Germany
Watson Marlow 630BpN/RE4 Peristaltic Pump in LIKE NEW Condition,215000,Used Very Good,USA
VWR Scientific Aquasonic 150D Ultrasonic Cleaner,3000,Used,USA
BRUKER CORPORATION Microflex LT Mass Spectrometer,1799,Used,USA
G157087 Bioreactor Process Tank Assembly w/ Alfa-Laval VE-J32 Metering Pump Skid,12000,Used,USA
Used TECAN F200 INFINITi Plate Reader Year 2009,2860,Used,USA
Diener Femto PCCE plasma system + vacuum pump (new),724,Used,USA
EKF DIAGNOSTIC GMBH Biosen C-Line Clinic Hematology Analyzer,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,Portugal
SYSMEX XT-2000i Hematology Analyzer,3500,Used,Netherlands
SYSMEX XN-1000 Hematology Analyzer,5431,Used,Netherlands
SYSMEX XE 2100 D Hematology Analyzer,12500,New,France
ROCHE TAQMAN 48 Thermal Cycler,7998,Used,
Used Thermo Nicolet Avatar 380 FTIR with Smart Orbit Diamond ATR,600,Used,France
Labconco 6 Foot Fume Hood - Protector Premier,200,,France
Zeiss 467065-9912 Microscope (4 Objectives),200,Used,
Used DiGene 6000-1110-U Hybrid Capture System Microplate Heater,430,Used,United Kingdom
Used Biomerieux Labguard 2 Transmitter MD5075 & Kimo TH 110,9500,New,Ukraine
Used ELECTRO TECH SYSTEMS ETS STATIC DECAY METER MODEL 406C,87,For Parts,USA
Agilent Technologies 1260 Infinity II G7104C Flexible Pump HPLC Pumps,35,Used,USA
Bosch 0 810 091 227 Directional Control Valve 0-810-091-227,724,Used,USA
Tyler Certified Sieve USA 170 8 All Stainless Steel Full Height,1086,Refurbished,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,For Parts,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,USA
SYSMEX XT-2000i Hematology Analyzer,3500,New,USA
SYSMEX XN-1000 Hematology Analyzer,20,Used Like New,Russia
SYSMEX XE 2100 D Hematology Analyzer,1699,,Netherlands
5 Packs Peristaltic Pump Tubing Kits PharMed BPT NSF 51 Tubing,509,Used,Netherlands
Air Science PCR-24 Laminar Flow Hoods,850,New,France
Leica N Plan 5x/0.12 PH 0 Microscope Objective,150,Used,
THERMO FISHER SCIENTIFIC BS200 Laboratory Microscope,485,Used,France
^^ OLYMPUS LG-PS2 FIBER OPTIC LIGHT SOURCE,52000,,France
"20w LED Replacement Illuminator for Zeiss Standard 14, 16m 18 Halogen Illuminators",283,Used,
Used Thermo Fisher Scientific Engen TC Automation Laboratory Chemistry Analyzer (Clinical Diagnostics),480,Used Very Good,France
Olympus WHN10X-H/22 Focusing Eyepiece,43,Certified Refurbished,USA
Used Bio Tek FL600 Microplate Fluorescence Reader,724,New,USA
"Bio-Rad Trans-Blot Fiber Foam Pads, 9.5 x 15.2cm",1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,USA
SYSMEX XT-2000i Hematology Analyzer,3500,Used,USA
SYSMEX XN-1000 Hematology Analyzer,5500,Refurbished,USA
SYSMEX XE 2100 D Hematology Analyzer,2080,Used,USA
Used Illumina HiSeq 2000 Sequencing System,2300,Used,USA
DMA35 Version 3 EX PETROL (Demo Unit),16500,Used,Netherlands
Metrohm 795 KFT Titrino 795 Key Pad 703 Ti Stand,120,New,Netherlands
Mettler Toledo T90 Titrator Rondo Tower Autosampler Dosing Units,2000,Used,France
Used SPECTRA PHYSICS SP4290 INTEGRATOR,30,,France
Mettler Toledo XS2002S Analytical Balance,2250,Used,
Mettler P10 Top-Loading Precision Balance Scale- Parts,366,Used,France
~ Mettler Toledo PM30-K Toploading Balance,4453,,USA
Scientific Industries Vortex-Genie 2 Mixers,724,Refurbished,USA
MELET SCHLOESING M-Scan II TOC Analyzer,1086,New,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,New,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,New,USA
SYSMEX XT-2000i Hematology Analyzer,3500,Used,USA
SYSMEX XN-1000 Hematology Analyzer,30114,New,USA
SYSMEX XE 2100 D Hematology Analyzer,9654,Used,Ukraine
AGILENT 6890 GCMS System with 5973 MSD Mass Spectrometer,200,New,USA
DRAGER JM-105 Bilirubin Meter,600,Used,USA
C154439 Tantec Surgical LAB System III HV202 Power Generator HT-200 Transformer,250,New,Netherlands
Buchi TO-51 Glass Titrator Oven,500,Used,Netherlands
PERKIN ELMER JUNIOR MODEL 35 SPECTROPHOTOMETER C0350020,12500,New,France
R160143 TJA Unicam Solaar 989 AA Spectrometer,24700,Used,
Used Varian Saturn 2000 MSD (GC MS MS) Mass Spectrometer,141,Used,France
Refurbished Refurbished Varian 450-GC with 220-MS and ONE YEAR WARRANTY,55,,France
MDC Vacuum Products TGT-531M Vacuum Gauges / Controllers,724,Used,
Mettler Toledo PB5001 Scale 5100g /0.1g with Digital Display (for parts/repair),1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,New,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,USA
SYSMEX XT-2000i Hematology Analyzer,3500,For Parts,USA
SYSMEX XN-1000 Hematology Analyzer,57,Used,USA
SYSMEX XE 2100 D Hematology Analyzer,188,Used,USA
Conductus LTC-10 Temperature Controller LTC-10G,338,For Parts,USA
Used HYBAID LIMITED MINI HYBRIDIZATION OVEN Ovens,1500,Used,USA
BLUE M STABIL-THERM DRY TYPE BACTERIOLOGICAL INCUBATOR MODEL 200A,1895,New,USA
9749 VISION ENGINEERING ALPHA ISIS MICROSCOPE 7-40X 25* ANGLE HEAD ADAPTER,7483,Used,France
Zeiss Axioskop 40 Upright Microscope for Brightfield Transmitted,1000,,Netherlands
SYSMEX XS1000i Hematology Analyzer,3500,Used,Netherlands
Used 10498 ROHDE & SCHWARZ R&S CMU200 UNIVERSAL RADIO COMMUNICATION TESTER,28000,New,France
10579 CONAIR FRANKLIN COMPU-DRY DHCOH4S03000 W/ HOPPER & LOADER 18056303 DB12SEC,4500,Used,
Used METTLER TOLEDO DSC I Thermal Analysis,724,Used,France
Used Agilent G9821A CARY 100 UV-Vis Spectrophotometer,1086,,France
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Refurbished,Netherlands
SYSMEX XT-2000i Hematology Analyzer,3500,,Spain
SYSMEX XN-1000 Hematology Analyzer,1270,New,
